Rank,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot CasesPer1MPop,DeathsPer1MPop,TotalTests,TestsPer1MPop ,Population
0,World,692616455,1655,6904586,6,664825894,51336,20885975,37175,88856,885.8,,,
1,USA,107548847,1370,1170023,4,105679821,2021,699003,710,321228,3495,1181184142,3527974,"334,805,269"
2,India,44995933,,531918,NA,44462462,Missing,1553,N/A,31988,378,930797975,661721,"1,406,631,776"
4000,Missing,0,0,0,0,0,0,0,0,0,0,0,0,0
3,France,40138560,,167642,,39970918,,0,869,612013,2556,271490188,4139547,"65,584,518"
4,Germany,38428685,,174352,,38240600,,13733,N/A,458119,2078,122332384,1458359,"83,883,596"
5,Brazil,37728415,,704794,,36249161,,774460,N/A,175193,3273,63776166,296146,"215,353,593"
6,Japan,33803572,,74694,,N/A,N/A,N/A,83,269169,595,100414883,799578,"125,584,838"
7,S. Korea,33201796,,35313,,32665182,47029,501301,174,646832,688,15804065,307892,"51,329,899"
8,Italy,25918253,,191053,,25612716,,114484,28,430087,3170,274396076,4553327,"60,262,770"
9,UK,24651375,,228429,,24415197,426,7749,N/A,359885,3335,522526476,7628357,"68,497,907"
10,Russia,22977274,,399854,,22430122,,147298,N/A,157588,2742,273400000,1875095,"145,805,947"
11,Turkey,17232066,,102174,,N/A,N/A,N/A,,201399,1194,162743369,1902052,"85,561,976"
12,Spain,13914811,,121760,,13762417,,30634,231,297840,2606,471036328,10082298,"46,719,142"
13,Australia,11736523,,22362,,11703798,,10363,31,450214,858,81916639,3142326,"26,068,792"
14,Vietnam,11621978,,43206,,10640357,,938415,3,117449,437,85826548,867342,"98,953,541"
15,Taiwan,10241506,,19005,,10222499,,2,,428719,796,30742304,1286903,"23,888,595"
16,Argentina,10057945,,130527,,9927418,,0,363,218602,2837,35716069,776264,"46,010,234"
17,Netherlands,8610372,,22992,,8587380,,0,53,500270,1336,25984435,1509718,"17,211,447"
18,Mexico,7633355,,334336,,6885378,,413641,N/A,58021,2541,20013810,152124,"131,562,772"
19,Iran,7613059,,146316,,7373036,,93707,9,88500,1701,56934517,661854,"86,022,837"
20,Indonesia,6812966,,161914,,6646184,,4868,N/A,24407,580,114158919,408975,"279,134,505"
21,Poland,6518230,3,119635,,5335940,,1062655,53,172715,3170,38811430,1028396,"37,739,785"
22,Colombia,6377142,,142942,,6190683,,43517,342,123797,2775,36951507,717327,"51,512,762"
23,Greece,6101379,,37089,,6064290,,0,115,591412,3595,102228365,9909078,"10,316,637"
24,Austria,6081287,,22542,,6054934,,3811,14,670727,2486,211273524,23302116,"9,066,710"
25,Portugal,5596420,,26979,,5567127,,2314,61,551884,2661,46139518,4549993,"10,140,570"
26,Ukraine,5557995,,112418,,5445577,,0,,128681,2603,32603805,754855,"43,192,122"
27,Chile,5289448,49,64497,,5224804,71,147,10,274774,3350,49914398,2592929,"19,250,195"
28,Malaysia,5120581,,37164,,5069820,,13597,2,154322,1120,68379667,2060803,"33,181,072"
29,Israel,4831302,,12592,,4798473,,20237,21,518047,1350,41373364,4436346,"9,326,000"
30,Belgium,4802854,,34376,,4767511,,967,43,411616,2946,37018657,3172590,"11,668,278"
31,DPRK,4772813,,74,,4772739,,0,,183636,3,,,"25,990,679"
32,Thailand,4755175,,34425,,4692636,,28114,N/A,67855,491,17270775,246450,"70,078,203"
33,Canada,4697504,,53147,,4638943,321,5414,99,122368,1384,66343123,1728207,"38,388,419"
34,Czechia,4643144,4,42813,,4600151,19,180,1,432452,3988,57244800,5331652,"10,736,784"
35,Peru,4517034,,221364,,4294246,,1424,26,134099,6572,38753114,1150483,"33,684,208"
36,Switzerland,4407771,,14452,,4392653,,666,39,502388,1647,23833472,2716487,"8,773,637"
37,Philippines,4173631,,66626,,4103172,,3833,162,37096,592,35639738,316772,"112,508,994"
38,South Africa,4076463,,102595,,3912506,,61362,192,67095,1689,26795090,441027,"60,756,135"
39,Romania,3409997,,68253,,3340632,,1112,37,179178,3586,27765656,1458944,"19,031,335"
40,Denmark,3182566,10,8772,,3173635,2,159,4,545432,1503,129314107,22161991,"5,834,950"
41,Hong Kong,2916103,,13819,,2898534,1212,3750,28,383481,1817,76127725,10011143,"7,604,299"
42,Sweden,2712743,,24536,,2688207,,0,8,265461,2401,19500873,1908301,"10,218,971"
43,Serbia,2544952,,18057,,2526334,,561,,294112,2087,13045481,1507622,"8,653,016"
44,Singapore,2518281,,1841,,2149583,,366857,2,423700,310,24756666,4165302,"5,943,546"
45,Iraq,2465545,,25375,,2439497,,673,21,58474,602,19544451,463523,"42,164,965"
46,New Zealand,2436894,,4626,,2430081,,2187,,497508,944,7768604,1586011,"4,898,203"
47,Hungary,2203289,,48881,,2152155,,2253,2,229360,5088,11394556,1186160,"9,606,259"
48,Bangladesh,2044532,,29473,,1998448,,16611,N/A,12178,176,15254399,90862,"167,885,689"
49,Slovakia,1866857,,21167,,1845690,,0,2,341903,3877,7432749,1361261,"5,460,193"
50,Georgia,1845538,,17101,,1776548,,51889,,465019,4309,16920079,4263340,"3,968,738"
51,Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,"10,300,869"
52,Ireland,1715065,,9125,,1704786,,1154,19,341633,1818,13083449,2606161,"5,020,199"
53,Pakistan,1581304,,30661,,1538689,,11954,1,6891,134,30571377,133215,"229,488,994"
54,Norway,1486301,,5613,,1480435,,253,20,269679,1018,11002430,1996315,"5,511,370"
55,Finland,1483389,,10113,,1472861,35,415,21,267039,1821,12101220,2178453,"5,554,960"
56,Kazakhstan,1411831,,13848,,1383020,,14963,24,73514,721,11575012,602707,"19,205,043"
57,Slovenia,1344323,1,7100,,1337079,,144,8,646921,3417,2847701,1370382,"2,078,034"
58,Lithuania,1322017,3,9694,,1311957,1,366,,496680,3642,10470578,3933782,"2,661,708"
59,Bulgaria,1309811,,38442,,1269930,,1439,10,191364,5616,11310731,1652505,"6,844,597"
60,Morocco,1275273,,16297,,1256151,,2825,3,33762,431,13001033,344191,"37,772,756"
61,Croatia,1274123,,18286,,1255683,,154,6,313879,4505,5621887,1384945,"4,059,286"
62,Guatemala,1272585,,20239,,1248120,,4226,5,68477,1089,7589860,408407,"18,584,039"
63,Costa Rica,1238883,,9428,,860711,,368744,52,239058,1819,4659757,899158,"5,182,354"
64,Lebanon,1238552,,10936,,1087587,,140029,74,185277,1636,4795578,717380,"6,684,849"
